sampleID	ai1	lst1	hrd-loh	HRD
TCGA-05-4403-01	3	3	4	10
TCGA-05-4405-01	11	3	7	21
TCGA-05-4410-01	18	7	7	32
TCGA-05-4415-01	13	4	7	24
TCGA-05-4417-01	8	10	4	22
TCGA-05-4418-01	2	2	1	5
TCGA-05-4420-01	19	18	9	46
TCGA-05-4422-01	8	6	6	20
TCGA-05-4424-01	14	11	4	29
TCGA-05-4425-01	4	2	4	10
TCGA-05-4426-01	5	4	5	14
TCGA-05-4427-01	18	11	5	34
TCGA-05-4430-01	11	4	5	20
TCGA-05-4432-01	15	10	4	29
TCGA-05-4433-01	7	2	8	17
TCGA-05-4434-01	5	9	5	19
TCGA-05-5420-01	5	4	6	15
TCGA-05-5423-01	7	4	1	12
TCGA-05-5425-01	14	2	5	21
TCGA-05-5428-01	18	13	10	41
TCGA-05-5429-01	6	2	6	14
TCGA-05-5715-01	3	5	3	11
TCGA-06-0119-01	0	1	0	1
TCGA-06-0122-01	4	9	4	17
TCGA-06-0124-01	3	4	2	9
TCGA-06-0125-01	1	3	3	7
TCGA-06-0125-02	3	3	3	9
TCGA-06-0126-01	2	4	2	8
TCGA-06-0127-01	2	4	2	8
TCGA-06-0128-01	3	1	1	5
TCGA-06-0129-01	5	5	1	11
TCGA-06-0130-01	3	3	3	9
TCGA-06-0132-01	0	1	2	3
TCGA-06-0133-01	1	1	2	4
TCGA-06-0137-01	1	1	0	2
TCGA-06-0140-01	0	1	1	2
TCGA-06-0141-01	1	1	0	2
TCGA-06-0143-01	1	4	2	7
TCGA-06-0145-01	3	1	2	6
TCGA-06-0148-01	5	4	2	11
TCGA-06-0149-01	1	3	0	4
TCGA-06-0151-01	3	3	2	8
TCGA-06-0152-01	2	4	1	7
TCGA-06-0152-02	3	0	1	4
TCGA-06-0154-01	4	1	6	11
TCGA-06-0155-01	0	2	0	2
TCGA-06-0157-01	1	2	0	3
TCGA-06-0158-01	2	4	2	8
TCGA-06-0159-01	0	0	0	0
TCGA-06-0162-01	4	6	1	11
TCGA-06-0164-01	2	3	4	9
TCGA-06-0166-01	4	5	3	12
TCGA-06-0168-01	2	2	7	11
TCGA-06-0169-01	2	1	0	3
TCGA-06-0171-01	5	6	7	18
TCGA-06-0171-02	1	3	1	5
TCGA-06-0173-01	0	2	1	3
TCGA-06-0174-01	0	2	0	2
TCGA-06-0175-01	6	7	5	18
TCGA-06-0177-01	1	3	1	5
TCGA-06-0179-01	0	0	0	0
TCGA-06-0182-01	4	8	3	15
TCGA-06-0184-01	3	3	1	7
TCGA-06-0185-01	3	0	3	6
TCGA-06-0187-01	6	2	3	11
TCGA-06-0188-01	4	3	4	11
TCGA-06-0190-01	2	8	4	14
TCGA-06-0190-02	3	4	4	11
TCGA-06-0192-01	0	0	1	1
TCGA-06-0194-01	0	0	0	0
TCGA-06-0195-01	3	1	2	6
TCGA-06-0197-01	0	0	2	2
TCGA-06-0201-01	0	5	2	7
TCGA-06-0206-01	2	1	3	6
TCGA-06-0208-01	2	2	2	6
TCGA-06-0209-01	3	1	0	4
TCGA-06-0210-01	3	0	0	3
TCGA-06-0210-02	3	0	0	3
TCGA-06-0211-01	2	0	0	2
TCGA-06-0211-02	2	0	1	3
TCGA-06-0213-01	5	6	3	14
TCGA-06-0214-01	5	3	9	17
